subject,accuracy,balanced_acc,n_segments
1,37.4,12.7,107
103,51.4,24.0,107
106,29.5,25.0,105
107,64.8,25.0,108
117,19.0,29.0,105
12,56.5,30.2,115
121,43.1,31.9,109
122,37.2,34.2,113
124,40.0,12.0,110
126,56.8,21.5,111
128,63.3,23.4,109
129,58.9,20.9,112
131,49.5,33.5,111
137,51.4,32.7,109
138,50.0,22.4,108
14,31.2,29.7,109
141,30.9,44.8,110
15,32.4,21.4,111
159,43.6,24.3,110
16,42.2,26.5,109
160,46.3,31.5,108
2,20.8,20.7,101
24,64.5,28.7,110
25,62.9,42.1,105
34,20.0,25.4,110
35,72.0,31.2,82
36,60.4,30.0,111
4,59.3,19.9,108
40,35.4,18.7,96
45,27.3,24.9,110
47,48.6,35.8,107
49,56.2,20.1,112
55,25.7,34.6,113
56,45.0,23.4,109
61,45.9,27.6,109
66,47.7,24.1,109
68,55.4,30.1,101
72,52.3,46.9,44
76,36.7,27.6,109
77,40.0,19.8,100
79,63.3,31.0,109
81,53.2,21.7,111
86,56.0,35.4,109
91,4.6,8.8,108
92,60.0,33.7,110
