subject,true_label,pred_label,correct,n_segments
S01,Moderate,High,False,53
S02,Moderate,High,False,46
S03,High,High,True,39
S04,Low,Moderate,False,47
S05,Moderate,High,False,86
S06,Low,High,False,61
S07,High,Moderate,False,80
S08,Moderate,High,False,72
S09,Moderate,High,False,130
S10,High,Moderate,False,93
S11,Low,High,False,68
S12,High,High,True,85
S13,High,Low,False,64
S14,Low,Low,True,93
S15,High,Moderate,False,59
S16,High,Low,False,60
S17,Low,High,False,57
S18,Moderate,High,False,42
S19,Moderate,Low,False,22
S21,High,High,True,24
S22,Low,Low,True,23
S23,High,High,True,23
S24,Low,Moderate,False,17
S25,High,Moderate,False,22
S26,Moderate,Moderate,True,21
